State|District|Actual Population (2011)|Actual Population (2001)|Male (2011)|Male (2001)|Female (2011)|Female (2001)|Population Growth (2011)|Population Growth (2001)|Area Sq. Km (2011)|Area Sq. Km (2001)|Density/km2 (2011)|Density/km2 (2001)|Proportion to Population (2011)|Proportion to Population (2001)|Sex Ratio (Per 1000) (2011)|Sex Ratio (Per 1000) (2001)|Child Sex Ratio (0-6 Age) (2011)|Child Sex Ratio (0-6 Age) (2001)|Average Literacy (2011)|Average Literacy (2001)|Male Literacy (2011)|Male Literacy (2001)|Female Literacy (2011)|Female Literacy (2001)|Total Child Population (0-6 Age) (2011)|Total Child Population (0-6 Age) (2001)|Male Population (0-6 Age) (2011)|Male Population (0-6 Age) (2001)|Female Population (0-6 Age) (2011)|Female Population (0-6 Age) (2001)|Literates (2011)|Literates (2001)|Male Literates (2011)|Male Literates (2001)|Female Literates (2011)|Female Literates (2001)|Child Proportion (0-6 Age) (2011)|Child Proportion (0-6 Age) (2001)|Boys Proportion (0-6 Age) (2011)|Boys Proportion (0-6 Age) (2001)|Girls Proportion (0-6 Age) (2011)|Girls Proportion (0-6 Age) (2001)|Population () (Rural)|Population () (Urban)|Total Population (Rural)|Total Population (Urban)|Male Population (Rural)|Male Population (Urban)|Female Population (Rural)|Female Population (Urban)|Sex Ratio (Rural)|Sex Ratio (Urban)|Child Sex Ratio (0-6) (Rural)|Child Sex Ratio (0-6) (Urban)|Child Population (0-6) (Rural)|Child Population (0-6) (Urban)|Male Child(0-6) (Rural)|Male Child(0-6) (Urban)|Female Child(0-6) (Rural)|Female Child(0-6) (Urban)|Child Percentage (0-6) (Rural)|Child Percentage (0-6) (Urban)|Male Child Percentage (Rural)|Male Child Percentage (Urban)|Female Child Percentage (Rural)|Female Child Percentage (Urban)|Literates (Rural)|Literates (Urban)|Male Literates (Rural)|Male Literates (Urban)|Female Literates (Rural)|Female Literates (Urban)|Average Literacy (Rural)|Average Literacy (Urban)|Male Literacy (Rural)|Male Literacy (Urban)|Female Literacy (Rural)|Female Literacy (Urban)
Andaman and Nicobar|Nicobars|36842|42068|20727|22653|16115|19415|-12.42|7.29|1841|1841|20|23|9.68|17.35|777|857|945|943|78.06|72.33|83.36|78.08|71.06|65.52|4389|5215|2256|2684|2133|2531|25332|26654|15397|15592|9935|11062|11.91|12.4|10.88|11.85|13.24|13.04|100|0|36842|0|20727|0|16115|0|777|0|945|0|4389|0|2256|0|2133|0|11.91|0|10.88|0|13.24|0|25332|0|15397|0|9935|0|78.06|0|83.36|0|71.06|0
Andaman and Nicobar|North And Middle Andaman|105597|105613|54861|56057|50736|49556|-0.02|28.07|3736|3736|28|32|27.75|43.55|925|884|974|960|83.91|78.22|88.37|93.94|79.06|80.65|11828|14779|5991|12593|5837|12087|78683|71049|43186|40832|35497|30217|11.2|13.99|10.92|22.46|11.5|24.39|97.4|2.6|102856|2741|53457|1404|49399|1337|924|952|972|1110|11579|249|5873|118|5706|131|11.26|9.08|10.99|8.4|11.55|9.8|76621|2062|42056|1130|34565|932|83.94|82.74|88.38|87.87|79.11|77.28
Andaman and Nicobar|South Andaman|238142|208471|127283|114262|110859|94209|14.23|28.07|2672|2672|89|70|62.57|85.96|871|824|969|982|89.13|84.47|92.19|84.37|85.57|74.96|24661|24680|12523|7456|12138|7323|190266|155242|105794|90112|84472|65130|10.36|11.84|9.84|6.53|10.95|7.77|40.9|59.1|97395|140747|52103|75180|45292|65567|869|872|993|952|10447|14214|5241|7282|5206|6932|10.73|10.1|10.06|9.69|11.49|10.57|76072|114194|42507|63287|33565|50907|87.49|90.25|90.71|93.21|83.73|86.82
Andhra Pradesh|Adilabad|2741239|2488003|1369597|1250958|1371642|1237045|10.18|19.47|16105|16105|170|154|3.24|3.26|1001|989|934|962|61.01|52.68|70.81|64.98|51.31|40.3|309992|376768|160291|191994|149701|184774|1483347|1112189|856350|688072|626997|424117|11.31|15.14|11.7|15.35|10.91|14.94|72.27|27.73|1980980|760259|985303|384294|995677|375965|1011|978|937|925|234207|75785|120918|39373|113289|36412|11.82|9.97|12.27|10.25|11.38|9.68|965707|517640|569033|287317|396674|230323|55.29|75.63|65.83|83.3|44.95|67.83
Andhra Pradesh|Anantapur|4081148|3640478|2064495|1859588|2016653|1780890|12.1|14.34|19130|19130|213|190|4.83|4.78|977|958|927|959|63.57|56.13|73.02|68.38|53.97|43.34|445956|479853|231369|244990|214587|234863|2310960|1774088|1338474|1104042|972486|670046|10.93|13.18|11.21|13.17|10.64|13.19|71.93|28.07|2935437|1145711|1489157|575338|1446280|570373|971|991|928|926|323884|122072|167977|63392|155907|58680|11.03|10.65|11.28|11.02|10.78|10.29|1546394|764566|917058|421416|629336|343150|59.21|74.69|69.41|82.32|48.77|67.06
Andhra Pradesh|Chittoor|4174064|3745875|2090204|1889690|2083860|1856185|11.43|14.86|15152|15152|275|247|4.94|4.92|997|982|931|955|71.53|66.77|79.83|77.62|63.28|55.78|444572|485584|230283|248394|214289|237190|2667878|2176990|1484794|1273940|1183084|903050|10.65|12.96|11.02|13.14|10.28|12.78|70.5|29.5|2942678|1231386|1474052|616152|1468626|615234|996|999|932|926|320194|124378|165695|64588|154499|59790|10.88|10.1|11.24|10.48|10.52|9.72|1757216|910662|998751|486043|758465|424619|67.01|82.26|76.34|88.12|57.72|76.45
Andhra Pradesh|East Godavari|5154296|4901420|2569688|2459640|2584608|2441780|5.16|7.93|10807|10807|477|454|6.09|6.43|1006|993|968|978|70.99|65.48|74.51|70|67.52|60.94|522054|613490|265244|310110|256810|303380|3288577|2807728|1716933|1504676|1571644|1303052|10.13|12.52|10.32|12.61|9.94|12.42|74.51|25.49|3840324|1313972|1922293|647395|1918031|666577|998|1030|968|968|395078|126976|200730|64514|194348|62462|10.29|9.66|10.44|9.97|10.13|9.37|2329761|958816|1223694|493239|1106067|465577|67.62|80.78|71.08|84.62|64.17|77.07
Andhra Pradesh|Guntur|4887813|4465144|2440521|2250279|2447292|2214865|9.47|8.72|11391|11391|429|392|5.78|5.86|1003|984|945|959|67.4|62.54|74.79|71.24|60.09|53.74|495729|538285|254833|274754|240896|263531|2960441|2455965|1634726|1407402|1325715|1048563|10.14|12.06|10.44|12.21|9.84|11.9|66.19|33.81|3235075|1652738|1621491|819030|1613584|833708|995|1018|945|947|332761|162968|171120|83713|161641|79255|10.29|9.86|10.55|10.22|10.02|9.51|1797934|1162507|1017294|617432|780640|545075|61.95|78.03|70.14|83.97|53.77|72.25
Andhra Pradesh|Hyderabad|3943323|3829753|2018575|1981173|1924748|1848580|2.97|21.74|217|217|18172|17649|4.66|5.03|954|933|914|943|83.25|78.8|86.99|83.74|79.35|73.5|469126|486084|245127|250173|223999|235911|2892155|2634949|1542688|1449602|1349467|1185347|11.9|12.69|12.14|12.63|11.64|12.76|0|100|0|3943323|0|2018575|0|1924748|0|954|0|914|0|469126|0|245127|0|223999|0|11.9|0|12.14|0|11.64|0|2892155|0|1542688|0|1349467|0|83.25|0|86.99|0|79.35
Andhra Pradesh|Karimnagar|3776269|3491822|1880800|1747968|1895469|1743854|8.15|14.96|11823|11823|319|295|4.46|4.58|1008|998|935|962|64.15|54.9|73.65|67.09|54.79|42.75|336053|465964|173647|237508|162406|228456|2206829|1661089|1257238|1013328|949591|647761|8.9|13.34|9.23|13.59|8.57|13.1|74.81|25.19|2825044|951225|1401950|478850|1423094|472375|1015|986|937|932|244443|91610|126222|47425|118221|44185|8.65|9.63|9|9.9|8.31|9.35|1538281|668548|889488|367750|648793|300798|59.61|77.77|69.72|85.24|49.72|70.25
